date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2026-06-27,Bagerhat,Khulna,22.655478,89.794181,34.56,49,1002,4.82,93,0.0,2,14.34,17.15,68.27,0.26,0.18,127.12
2026-06-27,Bandarban,Chattogram,21.787476,92.412475,30.19,77,1005,1.17,70,0.0,1,6.14,7.37,48.17,0.03,0.05,90.76
2026-06-27,Barguna,Barishal,22.131336,90.117243,32.64,60,1003,6.1,42,0.0,2,9.96,13.66,64.09,0.06,0.15,111.51
2026-06-27,Barishal,Barishal,22.493403,90.354801,32.99,58,1003,5.31,87,0.0,2,13.53,16.62,64.25,0.11,0.12,116.74
2026-06-27,Bhola,Barishal,22.143569,90.790409,29.34,78,1004,6.22,26,0.0,2,12.03,15.82,60.26,0.04,0.12,109.89
2026-06-27,Bogura,Rajshahi,24.850066,89.372843,35.85,45,1002,4.28,98,0.0,3,25.98,29.01,85.48,6.12,6.18,266.77
2026-06-27,Brahmanbaria,Chattogram,23.9606,91.119089,32.53,62,1003,4.49,88,0.0,1,7.95,8.86,57.28,1.55,0.44,144.85
2026-06-27,Chandpur,Chattogram,23.224176,90.6531,32.44,61,1003,6.03,84,0.0,1,9.72,10.48,58.48,0.52,0.27,121.97
2026-06-27,Chapai Nawabganj,Rajshahi,24.599887,88.285047,37.56,38,1001,3.49,90,0.0,4,51.5,55.4,104.42,4.39,7.16,337.73
2026-06-27,Chattogram,Chattogram,22.333778,91.834435,29.59,75,1004,6.74,46,0.0,1,9.54,10.82,49.0,0.03,0.06,93.92
2026-06-27,Chuadanga,Khulna,23.643661,88.846448,38.41,35,1001,3.56,60,0.0,4,50.22,56.37,127.42,4.58,12.26,310.51
2026-06-27,Cox's Bazar,Chattogram,21.176647,92.003505,28.76,79,1005,7.22,12,0.0,1,8.79,10.82,51.05,0.03,0.09,93.71
2026-06-27,Cumilla,Chattogram,23.461061,91.180875,31.34,66,1003,4.72,100,0.0,1,8.76,9.74,56.43,0.82,0.27,125.4
2026-06-27,Dhaka,Dhaka,23.764386,90.389014,35.31,47,1002,5.03,58,0.0,2,10.28,11.09,65.04,1.2,0.61,141.46
2026-06-27,Dinajpur,Rangpur,25.626071,88.634623,36.42,42,1001,2.47,100,0.0,4,65.15,68.89,130.83,5.65,14.52,362.8
2026-06-27,Faridpur,Dhaka,23.604018,89.841554,35.58,46,1002,3.62,88,0.0,2,15.09,16.42,75.76,1.4,2.01,152.98
2026-06-27,Feni,Chattogram,23.01276,91.404923,31.6,65,1004,5.94,60,0.0,1,9.23,10.45,51.75,0.24,0.09,104.41
2026-06-27,Gaibandha,Rangpur,25.086001,89.869644,34.65,53,1002,3.94,45,0.0,2,15.48,17.91,73.01,3.13,1.65,199.34
2026-06-27,Gazipur,Dhaka,23.999756,90.417363,32.84,59,1003,4.61,97,0.0,2,9.54,10.58,61.89,1.99,0.74,160.74
2026-06-27,Gopalganj,Dhaka,23.004994,89.830318,33.51,56,1002,5.71,95,0.0,2,14.9,16.53,67.43,0.8,0.94,134.85
2026-06-27,Habiganj,Sylhet,24.374603,91.414027,34.11,54,1003,3.52,56,0.0,1,6.77,7.59,59.09,1.61,0.89,143.19
2026-06-27,Jamalpur,Mymensingh,24.925587,89.943668,33.39,57,1002,3.05,87,0.0,2,16.2,18.43,75.06,2.75,1.68,190.89
2026-06-27,Jashore,Khulna,23.166526,89.209442,37.33,38,1001,4.04,75,0.0,2,16.7,18.6,76.79,1.65,2.52,161.31
2026-06-27,Jhalokathi,Barishal,22.56239,90.174282,33.02,57,1003,4.91,100,0.0,2,13.86,17.2,65.73,0.14,0.14,118.88
2026-06-27,Jhenaidah,Khulna,23.544696,89.173194,38.36,36,1001,3.7,47,0.0,3,30.32,33.78,99.57,3.07,6.89,227.58
2026-06-27,Joypurhat,Rajshahi,25.111402,88.98842,36.05,44,1001,3.41,100,0.0,2,24.59,27.46,67.05,13.55,13.36,347.54
2026-06-27,Khagrachhari,Chattogram,23.1078,91.988996,31.08,66,1004,2.76,100,0.0,1,7.64,8.6,47.7,0.12,0.05,95.27
2026-06-27,Khulna,Khulna,22.937209,89.285274,36.11,42,1002,4.93,81,0.0,2,14.69,16.75,73.81,0.97,1.36,145.89
2026-06-27,Kishoreganj,Dhaka,24.433982,90.785723,32.37,64,1003,3.63,98,0.0,2,13.44,14.55,67.91,1.61,0.43,163.58
2026-06-27,Kurigram,Rangpur,25.813013,89.643052,33.39,61,1002,3.17,62,0.0,3,41.1,44.71,105.67,3.92,3.54,306.79
2026-06-27,Kushtia,Khulna,23.898795,89.129554,37.46,39,1001,3.51,58,0.0,4,52.71,59.19,130.12,4.61,12.61,312.71
2026-06-27,Lakshmipur,Chattogram,22.944537,90.827635,31.76,66,1004,6.49,81,0.0,2,11.78,13.35,58.05,0.19,0.11,112.81
2026-06-27,Lalmonirhat,Rangpur,25.916351,89.446139,34.25,58,1002,2.48,37,0.1,3,44.53,48.04,110.25,4.79,4.49,335.52
2026-06-27,Madaripur,Dhaka,23.167518,90.204727,32.72,58,1003,5.17,100,0.0,2,12.95,14.34,62.88,0.36,0.24,122.76
2026-06-27,Magura,Khulna,23.488077,89.420182,37.22,39,1001,3.34,63,0.0,2,21.21,23.27,82.5,2.36,4.03,178.95
2026-06-27,Manikganj,Dhaka,23.832984,89.966688,34.52,50,1002,3.74,97,0.0,2,15.24,16.75,79.9,1.55,2.35,159.53
2026-06-27,Meherpur,Khulna,23.781785,88.636937,37.99,36,1001,3.31,56,0.0,4,51.61,56.99,121.12,3.87,9.02,313.58
2026-06-27,Moulvibazar,Sylhet,24.488082,91.763018,33.42,57,1003,2.62,78,0.0,1,6.52,7.44,55.73,2.39,0.97,157.15
2026-06-27,Munshiganj,Dhaka,23.54838,90.534972,34.6,51,1003,5.04,79,0.0,2,10.4,11.24,60.74,1.0,0.44,135.69
2026-06-27,Mymensingh,Mymensingh,24.888931,90.384519,33.93,56,1002,2.77,64,0.0,2,12.64,14.51,67.72,2.25,0.83,170.52
2026-06-27,Naogaon,Rajshahi,24.807323,88.944545,36.37,42,1001,4.3,99,0.0,3,32.95,36.44,84.09,11.05,12.41,347.19
2026-06-27,Narail,Khulna,25.074884,90.391651,32.91,62,1003,2.34,78,0.0,2,12.74,14.98,66.26,2.56,0.89,176.95
2026-06-27,Narayanganj,Dhaka,23.623673,90.498807,34.93,49,1003,4.88,80,0.0,2,9.97,10.91,61.31,1.5,0.59,148.22
2026-06-27,Narsingdi,Dhaka,23.919715,90.715298,31.7,65,1003,4.31,100,0.0,1,9.63,10.85,57.12,2.42,0.71,171.51
2026-06-27,Natore,Rajshahi,24.413185,88.986668,36.81,40,1001,3.37,92,0.0,3,49.68,54.38,118.26,6.02,10.51,346.47
